"YEAR","BALLOT","USETECH","HAPPY","PARTYID","RINCOME","RACE","SEX","DEGREE","EDUC","AGE","MARITAL","HRS2","HRS1","WRKSTAT","ID_","UNHAPPY"
2018,1,100,2,5,13,1,1,2,14,43,5,41,-1,3,1,0
2018,3,-1,1,2,0,1,2,1,10,74,4,-1,-1,5,2,1
2018,2,100,1,4,12,1,1,3,16,42,1,-1,40,1,3,0
2018,2,70,1,2,12,1,2,3,16,63,1,-1,40,1,4,2
2018,3,-1,2,6,0,2,1,4,18,71,3,-1,-1,5,5,1
2018,1,-1,3,2,0,1,2,3,16,67,2,-1,-1,5,6,0
2018,3,0,2,0,10,2,2,1,13,59,3,-1,35,1,7,2
2018,3,75,2,5,12,1,1,1,12,43,5,-1,89,1,8,2
2018,2,33,3,3,2,1,2,0,8,62,2,-1,40,1,9,0
2018,2,2,2,1,12,1,1,1,12,55,1,-1,40,1,10,4
2018,1,30,2,6,12,1,1,4,19,59,3,-1,40,1,11,0
2018,2,0,2,1,10,3,2,1,14,34,4,-1,20,2,12,3
2018,1,-1,3,1,0,1,2,1,13,61,3,-1,-1,5,13,0
2018,3,100,1,0,12,2,1,3,16,44,1,-1,40,1,14,1
2018,2,-1,2,4,0,2,2,1,12,41,5,-1,-1,7,15,0
2018,1,15,2,3,9,1,2,1,12,75,2,-1,19,2,16,0
2018,2,-1,3,2,12,1,2,3,16,55,1,-1,-1,4,17,2
2018,1,-1,1,3,0,1,2,3,16,30,1,-1,-1,7,18,0
2018,3,25,2,1,12,1,2,4,20,40,3,-1,40,1,19,2
2018,2,80,3,4,13,1,1,4,18,30,5,-1,40,1,20,2
2018,1,50,1,5,12,1,2,1,15,34,1,-1,42,1,21,0
2018,3,-1,2,5,0,3,2,2,14,29,5,-1,-1,6,22,2
2018,2,0,2,2,12,1,2,2,14,40,1,-1,32,1,23,0
2018,1,5,1,0,12,1,1,1,12,37,5,-1,50,1,24,0
2018,1,25,1,5,10,1,2,3,16,56,1,-1,15,2,25,0
2018,3,-1,1,5,0,1,1,0,8,82,2,-1,-1,5,26,3
2018,1,5,2,1,12,1,2,1,12,68,3,-1,33,1,27,0
2018,3,-1,3,1,0,2,2,0,9,42,5,-1,-1,7,28,1
2018,2,-1,3,6,0,1,2,1,12,40,3,-1,-1,7,29,0
2018,3,50,2,4,9,1,1,1,14,20,5,-1,40,2,30,1
2018,2,-1,2,4,0,1,2,1,12,74,1,-1,-1,5,31,3
2018,3,-1,3,6,0,1,1,0,8,89,1,-1,-1,5,32,1
2018,2,-1,2,3,0,1,2,3,16,60,1,-1,-1,7,33,0
2018,1,40,2,1,12,1,2,3,16,56,3,-1,46,1,34,0
2018,2,0,1,2,13,1,2,0,10,55,3,-1,16,2,35,0
2018,3,100,1,6,12,1,1,4,18,65,1,-1,40,1,36,2
2018,1,90,2,0,13,1,2,4,20,71,2,-1,20,2,37,0
2018,3,95,3,0,12,1,1,4,20,34,5,-1,45,1,38,2
2018,2,70,2,4,12,1,1,4,19,45,1,-1,50,1,39,0
2018,1,999,2,9,13,2,2,1,12,50,9,99,99,9,40,0
2018,2,50,2,0,9,1,2,1,12,65,3,-1,30,2,41,3
2018,1,20,2,1,12,1,1,1,12,52,5,-1,40,1,42,0
2018,2,-1,1,0,0,1,2,1,12,62,2,-1,-1,5,43,1
